city,site_eui,energy_star_score,gross_floor_area_sqft,total_ghg_mtco2e,y_log_ghg
denver,69.7,49.0,,327.0,5.793013608384144
denver,88.7,72.0,,632.7,6.451575656329472
denver,55.2,88.0,,424.0,6.052089168924417
denver,73.9,0.0,,229.6,5.440684607834958
denver,0.0,0.0,,0.0,0.0
denver,115.1,37.0,,1385.4,7.234465738401396
denver,42.3,90.0,,588.4,6.379105070303594
denver,50.9,94.0,,238.2,5.477300022076476
denver,52.7,74.0,,167.5,5.126935749792416
denver,33.5,87.0,,484.3,6.18476725641117
denver,57.0,90.0,,252.5,5.535363823031238
denver,64.7,98.0,,230.5,5.444579873526289
denver,48.5,98.0,,199.3,5.299816242671772
denver,27.9,100.0,,288.1,5.666772649022301
denver,70.7,76.0,,851.5,6.748173209157672
denver,56.0,87.0,,701.4,6.554503042320907
denver,35.5,90.0,,1694.1,7.43549701512444
denver,42.0,91.0,,118.7,4.784988612563928
denver,0.0,0.0,,0.0,0.0
denver,67.8,78.0,,681.9,6.526348435967043
denver,48.1,83.0,,145.3,4.9856593080260785
denver,55.9,84.0,,217.7,5.387700927682722
denver,39.4,97.0,,325.5,5.788429948716486
denver,41.8,98.0,,205.1,5.328361487896413
denver,73.2,31.0,,2275.7,7.7304823050779765
denver,49.1,74.0,,280.5,5.640132447579745
denver,45.5,78.0,,331.2,5.8057371971791945
denver,62.7,85.0,,144.2,4.978112102390695
denver,123.6,23.0,,565.3,6.339123973119759
denver,55.0,77.0,,2229.3,7.709891384553912
denver,46.4,83.0,,411.4,6.021993752142805
denver,45.7,90.0,,675.5,6.516932447610842
denver,0.0,0.0,,0.0,0.0
denver,91.2,33.0,,983.9,6.892540113175657
denver,71.2,69.0,,1233.9,7.118745274123777
denver,60.0,78.0,,141.7,4.960744524482791
denver,57.7,93.0,,233.5,5.457455587886334
denver,82.8,70.0,,201.0,5.308267697401205
denver,53.8,92.0,,247.7,5.516247350809359
denver,44.2,97.0,,219.2,5.394536224288579
denver,210.6,1.0,,1310.3,7.178774290537379
denver,109.9,36.0,,535.6,6.285252937991523
denver,90.4,68.0,,347.4,5.853351244978348
denver,51.1,77.0,,154.4,5.046002437933547
denver,97.2,35.0,,1564.3,7.355832777894177
denver,58.0,62.0,,1084.1,6.989427427626162
denver,68.0,82.0,,349.0,5.857933154483459
denver,43.0,83.0,,274.7,5.619313318029751
denver,45.3,83.0,,390.1,5.968963281761469
denver,55.3,89.0,,256.3,5.550242719287699
denver,64.1,93.0,,243.6,5.499624223253072
denver,98.0,19.0,,482.2,6.180430646620605
denver,121.5,35.0,,499.0,6.214608098422191
denver,53.4,69.0,,298.7,5.702781974322617
denver,43.2,98.0,,212.3,5.362699625477305
denver,57.8,44.0,,549.5,6.310826956162734
denver,64.4,58.0,,479.3,6.174410908670779
denver,35.0,97.0,,1156.1,7.0536721538822915
denver,82.6,51.0,,578.4,6.36199308533525
denver,50.8,71.0,,2001.8,7.60230148045579
denver,55.6,94.0,,1862.0,7.529943370601589
denver,67.0,40.0,,322.2,5.77827132664694
denver,111.2,40.0,,576.4,6.358535267228834
denver,102.4,46.0,,1637.6,7.401597497707714
denver,72.6,68.0,,346.1,5.849612922867741
denver,67.4,0.0,,291.7,5.6791481936978405
denver,77.7,5.0,,439.6,6.088137434368242
denver,58.6,54.0,,179.5,5.195730777772936
denver,69.6,58.0,,255.5,5.547128664610824
denver,120.1,62.0,,288.4,5.667809814197383
denver,71.9,72.0,,149.5,5.01396308418893
denver,76.2,73.0,,178.6,5.190732155868099
denver,79.1,87.0,,299.7,5.706113089994483
denver,43.2,98.0,,212.1,5.361761539104571
denver,31.9,98.0,,759.6,6.634107595494159
denver,137.2,33.0,,772.2,6.650537747334176
denver,57.0,83.0,,1469.1,7.29308570466992
denver,63.8,88.0,,321.7,5.776723099057916
denver,57.4,92.0,,3777.3,8.237029452002579
denver,39.9,92.0,,118.1,4.779963476361254
denver,87.6,45.0,,503.9,6.22436038986487
denver,58.3,59.0,,2357.5,7.765781102724317
denver,49.0,60.0,,622.8,6.435829804173703
denver,68.8,91.0,,154.0,5.043425116919247
denver,100.1,28.0,,235.6,5.466370951544286
denver,69.5,31.0,,464.2,6.142467420644509
denver,67.8,39.0,,683.4,6.528542542018038
denver,83.3,69.0,,582.1,6.368358698228111
denver,64.6,77.0,,456.6,6.125995440065588
denver,38.4,92.0,,665.4,6.5018900908526325
denver,83.1,35.0,,1189.1,7.081792616188394
denver,61.7,75.0,,571.3,6.349663329415057
denver,69.1,98.0,,610.8,6.416405431716803
denver,46.4,0.0,,119.1,4.788324729085938
denver,75.1,59.0,,487.9,6.1921579695846
denver,55.3,77.0,,206.3,5.334167019441734
denver,63.1,39.0,,1786.0,7.488293515159428
denver,42.5,40.0,,285.6,5.6580875153940715
denver,89.2,53.0,,225.6,5.423186348593906
denver,118.6,56.0,,479.9,6.175659348283617
denver,94.6,63.0,,1143.2,7.042460981834428
denver,59.7,80.0,,290.0,5.673323267171493
denver,42.5,87.0,,470.3,6.155494833929685
denver,54.9,92.0,,248.0,5.517452896464707
denver,52.0,94.0,,181.4,5.206202077640231
denver,92.1,54.0,,465.4,6.1450436350362825
denver,47.1,83.0,,752.5,6.62472901806655
denver,65.7,94.0,,257.4,5.554508771908447
denver,71.1,0.0,,85.1,4.455509411433685
denver,94.5,46.0,,248.2,5.518255786913298
denver,65.5,77.0,,429.2,6.06425021683363
denver,37.1,100.0,,1677.2,7.425477069435969
denver,129.7,10.0,,937.9,6.844708977264502
denver,90.0,39.0,,2697.3,7.900377224062814
denver,55.8,78.0,,186.5,5.233778845410465
denver,36.8,93.0,,132.0,4.890349128221754
denver,48.0,97.0,,918.4,6.8237212833721275
denver,42.2,98.0,,215.9,5.379436417832829
denver,100.8,56.0,,458.5,6.1301389417957415
denver,115.4,71.0,,321.6,5.776413165691109
denver,63.2,86.0,,120.2,4.797442073635214
denver,46.2,97.0,,260.5,5.566434283504978
denver,0.0,0.0,,0.0,0.0
denver,25.9,0.0,,74.9,4.3294166844015844
denver,83.3,44.0,,2196.9,7.695257638023228
denver,111.6,47.0,,944.3,6.851502337431339
denver,55.9,50.0,,2884.1,7.967314840386546
denver,64.9,68.0,,1170.2,7.065784143207047
denver,64.5,72.0,,1059.0,6.966024187106113
denver,39.1,97.0,,134.2,4.906755163608864
denver,56.8,84.0,,342.1,5.838021949864404
denver,38.5,93.0,,3633.0,8.198089248956116
denver,66.4,93.0,,262.1,5.572534188046247
denver,51.0,95.0,,224.4,5.417876601605676
denver,36.4,100.0,,1306.1,7.175566221791506
denver,74.7,42.0,,531.8,6.27814611922618
denver,76.2,73.0,,647.6,6.474816193873218
denver,52.4,79.0,,288.4,5.667809814197383
denver,76.8,79.0,,1299.7,7.170657860069695
denver,53.2,85.0,,1031.7,6.939932010677358
denver,52.8,93.0,,238.0,5.476463551931511
denver,62.0,95.0,,1049.3,6.95683111662873
denver,73.4,96.0,,293.2,5.6842598081673374
denver,32.8,99.0,,2299.0,7.7406644019172415
denver,86.2,65.0,,154.5,5.0466457316192885
