city,property_id,property_name,gross_floor_area_sqft,site_eui,energy_star_score,total_ghg_mtco2e,address,zip,year_built
philadelphia,883034000,1900 Market Street,495425.0,44.7,83.0,1936.8,1900 Market Street,19103,1981
philadelphia,883034200,Independence Blue Cross,982710.0,61.9,68.0,4156.6,1901 Market Street,19103,1988
philadelphia,883036500,The Philadelphia Design Building,99556.0,101.9,89.0,939.2,2300 Chestnut Street,19103,1910
philadelphia,883036600,KlingStubbins,105000.0,28.3,99.0,219.6,2301 Chestnut Street,19103,1920
philadelphia,883039105,2401 Walnut,163836.0,38.3,87.0,550.7,2401 Walnut Street,19103,1925
philadelphia,883050000,Hotel Palomar Philadelphia,156650.0,97.7,52.0,1116.6,117 South 17th Street,19103,2009
philadelphia,883051000,Medical Tower Building,95000.0,70.9,68.0,561.3,255 South 17th Street,19103,1930
philadelphia,883051500,30 South 17th Street,761162.0,63.1,72.0,4026.9,30 South 17th Street,19103,1975
philadelphia,883053000,1635 Market,286585.0,84.9,49.0,2065.8,1635 Market,19103,1966
philadelphia,883053525,"1735 MARKET STREET - OFFICE, Site # 602850",1571144.0,46.8,67.0,6498.4,1735 MARKET ST OFC,19103,1990
philadelphia,883053530,1701 Market Street,414598.0,83.7,44.0,2327.1,1701 Market Street,19103,1957
philadelphia,883054000,12589 Ten Penn Center,721408.0,42.5,78.0,2712.0,1801 Market Street,19103,1981
philadelphia,883054371,One Commerce Square,1122542.0,55.8,76.0,5481.4,2005 Market Street,19103,1987
philadelphia,883054500,PECO MAIN OFFICE BUILDING,897201.0,76.1,44.0,6244.4,2301 Market Street,19103,1971
philadelphia,883055500,2 Penn,500000.0,53.4,72.0,2359.3,1500 John F. Kennedy Boulevard,19103,1956
philadelphia,883056000,Four Penn Center,543134.0,61.5,70.0,885.9,1600 JFK Blvd,19103,1964
philadelphia,883056100,1800 JFK,248000.0,39.9,82.0,946.0,1800 John F. Kennedy Boulevard,19103,1983
philadelphia,883056300,1880 JFK,248000.0,41.6,80.0,986.9,1880 John F. Kennedy Boulevard,19103,1983
philadelphia,883056500,8 Penn,235000.0,83.4,59.0,1597.9,1628 JFK Blvd,19103,1981
philadelphia,883056605,pen03066 1701 JFK Blvd,1538959.0,61.6,78.0,8518.7,1701 JFK Blvd,19103,2008
philadelphia,883058000,1650 Arch St,553349.0,73.0,52.0,3428.5,1650 Arch St,19103,1974
philadelphia,883059004,Three Logan Square,1377698.0,57.5,81.0,6232.9,1717 Arch Street,19103,1990
philadelphia,883061505,ONE LOGAN SQUARE,1111787.0,42.8,92.0,4141.1,130 NORTH 18TH STREET,19103,1983
philadelphia,883061805,TWO LOGAN SQUARE,808040.0,55.4,87.0,4287.5,100 NORTH 18TH STREET,19103,1988
philadelphia,883066000,100 N. 20th Street,89150.0,40.9,87.0,322.5,100 North 20th Street,19103,1981
philadelphia,883104005,1835 Market Street,751503.0,96.3,61.0,5266.8,1835 Market Street,19103,1986
philadelphia,883324100,American Red Cross - Humanitarian Services,80679.0,58.2,61.0,366.5,2221 Chestnut St.,19103,1972
philadelphia,883338000,APF - 1601 Market Street,797218.0,52.8,80.0,3651.8,1601 Market St,19103,1969
philadelphia,883339500,One Penn Center,710000.0,35.4,91.0,2247.4,1617 John F. Kennedy Blvd,19103,1929
philadelphia,883421000,Penn Warwick Garage,54000.0,6.0,,31.1,1708 Chancellor Street,19103,1930
philadelphia,883422500,2027 sansom,118768.0,16.8,,104.1,2027-39 sansom st,19103,1930
philadelphia,883427750,171-Rittenhouse Hotel,134484.0,76.7,70.0,832.9,210 West Rittenhouse Square,19103,1989
philadelphia,883429000,2100-06 chestnut,66000.0,,,,2100-06 chestnut,19103,1929
philadelphia,883700200,Comcast Technology Center,1852615.0,88.3,54.0,13704.7,1800 Arch Street,19103,2018
philadelphia,883700600,Sonesta - Philadelphia,414000.0,93.8,71.0,1875.5,1800 Market Street,19103,1970
philadelphia,883700600,Sonesta - Philadelphia,414000.0,96.2,69.0,1912.6,1800 Market Street,19103,1970
philadelphia,883702700,Rittenhouse Parking Garage,93456.0,6.2,,47.7,2000-04 Walnut Street,19103,1989
philadelphia,883703600,Sofitel Philadelphia,290966.0,85.1,64.0,1839.3,120 South 17th Street,19103,2000
philadelphia,883704000,266-WestPhiladelphia,256265.0,61.6,90.0,1286.8,99 S. 17th,19103,2017
philadelphia,883704900; 883704800,Club Quarters Hotel Philadelphia,264618.0,30.2,100.0,703.6,1628 Chestnut Street,19103,1927
philadelphia,883707000,AKA Rittenhouse Square,99722.0,52.0,36.0,431.7,135 South 18th Street,19103,1912
philadelphia,883720300,The Windsor Suites,396981.0,,,,1700 Benjamin Franklin Parkway,19103,1963
philadelphia,883720500,The Logan Hotel,347903.0,112.6,59.0,2421.2,One Logan Square,19103,1983
philadelphia,883776650,219-227 S. Broad,184634.0,60.6,50.0,925.7,219 S. Broad Street,19103,2018
philadelphia,884055850,Walnut Bridge Parking & Storage,156616.0,28.5,,173.7,200 South 24th St,19103,1913
philadelphia,885876140,1425 Arch Street,90085.0,37.7,77.0,317.8,1425 Arch Street,19103,1909
philadelphia,886617500,Kate's Place,60000.0,101.7,38.0,449.7,1929 Sansom St,19103,1900
philadelphia,886930301,John Fox Towers,212742.0,67.1,53.0,1022.8,22 South 22nd Street,19103,1966
philadelphia,888036058,23 A Condominium,154600.0,10.6,100.0,142.7,23 S 23rd Street,19103,2006
philadelphia,888049620,Locust Point Condominium Association,118975.0,20.4,100.0,167.7,2429-42 Locust St ,19103,2007
philadelphia,888070010,Barclay,283000.0,89.8,12.0,1779.1,237 S 18th St.,19103,1929
philadelphia,888081504,Dorchester Owners Association,437034.0,112.5,7.0,3327.9,226 W. Rittenhouse Square,19103,1963
philadelphia,888081524,1820 Rittenhouse Square,105600.0,78.9,9.0,590.3,1820 Rittenhouse Square,19103,1900
philadelphia,888081542,250 South 18th Street,78000.0,36.0,81.0,231.3,250 South 18th Street,19103,1900
philadelphia,888081620,1900 Rittenhouse Square,140000.0,28.7,96.0,307.7,1900 Rittenhouse Square,19103,1900
philadelphia,888081773,1830 Rittenhouse Square,114000.0,54.4,41.0,472.3,1830 Rittenhouse Square,19103,1900
philadelphia,888082686,Council for Two Twenty West Rittenhouse Square,141871.0,111.1,2.0,1070.7,220 W Rittenhouse Square,19103,1957
philadelphia,888083127,Rittenhouse Savoy Owners Assn,249858.0,19.6,99.0,454.7,1806 Rittenhouse Square,19103,1953
philadelphia,888083961,Rivers Edge Condominium Association,270000.0,33.0,88.0,672.1,2301 Cherry St,19103,1982
philadelphia,888084309,2201 Cherry Street,58500.0,32.5,87.0,163.2,2201 Cherry St,19103,1988
philadelphia,888085258;883702700,(PA2473) - Rittenhouse Condo & Hotel,599412.0,60.6,36.0,2928.1,210 W Rittenhouse Sq,19103,1989
philadelphia,888086855,250 South 17th Street,56000.0,44.9,57.0,212.0,250 South 17th Street,19103,1900
philadelphia,888088272,(PA2450) - Belgravia,67493.0,52.4,31.0,309.2,1811 Chestnut Street,19103,1903
philadelphia,888089352,1706 Rittenhouse Square,156175.0,59.2,19.0,749.3,1706 Rittenhouse Square,19103,2010
philadelphia,888089772,(PA2632) - One Riverside Condo,203017.0,32.1,77.0,624.0,210 S 25th St,19103,2016
philadelphia,888090644,Wanamaker House,278926.0,65.9,30.0,1503.5,2020 Walnut Street,19103,1983
philadelphia,888093017,Parc Rittenhouse Condominium,440018.0,74.3,2.0,2655.5,225 S 18th Street,19103,1928
philadelphia,888094100,Murano Condominium  ASN,710082.0,60.7,40.0,2893.5,2101 Market St.,19103,2008
philadelphia,888095900,10 Rittenhouse Square,520715.0,59.0,18.0,2323.3,130 S 18th St.,19103,2009
philadelphia,888111280,2200 Arch Street,415000.0,40.5,39.0,1161.6,2200 Arch St,19103,1996
philadelphia,888112500,Riverwest Condominium,337140.0,62.2,50.0,1492.3,2101 Chestnut Street,19103,1957
philadelphia,,Study Philadelphia Operating LLC,134000.0,54.3,92.0,603.7,20 South 33rd Street,19104,2016
philadelphia,,3675 Market Street,355250.0,155.2,18.0,4089.5,3675 Market Street,19104,2018
philadelphia,,Philadelphia,1762546.0,207.1,53.0,20430.1,University and Woodland Avenues,19104,1966
philadelphia,,University of Pennsylvania,14350000.0,186.9,,188129.2,3101 Walnut Street,19104,1873
philadelphia,772029000,Stiles Alumni Hall,142903.0,84.5,32.0,1036.3,225 North 15th Street,19104,1972
philadelphia,"773000800, 773001000, 773003070,  773001500,
883209520,883081725,773740500, 773740200, 773513200, 773003030, 773003050",The Children's Hospital fo Philadelphia,6353396.0,196.2,,91726.4,34th Street and Civic Center Blvd.,19104,1974
philadelphia,773009000,Hospital of the University of Pennsylvania,1791804.0,346.1,3.0,48929.0,3400 Spruce St,19104,1913
