city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,zip,gross_floor_area_sqft
denver,4693,Larry H Miller Dodge Ram Havana,AUTOMOBILE DEALERSHIP,150.3,0.0,578.5,80014,
denver,4788,CONTINENTAL 6,MOVIE THEATER,89.1,0.0,519.4,80237,
denver,3237,CO Talking Book Library BLDG,ADULT EDUCATION,16.5,0.0,99.9,80226,
denver,2548,The Salvation Army Harbor Light Center,Other - Lodging/Residential,49.2,0.0,366.6,80205,
denver,2158,KAYMART HOLDING LLC,Social/Meeting Hall,51.3,0.0,130.8,80205,
denver,3790,Newman Performing Arts,PERFORMING ARTS,65.5,0.0,1253.7,80210,
denver,3020,CLYFFORD STILL MUSEUM,MUSEUM,31.8,0.0,149.0,80204,
denver,5651,Griffis North Union (gr002),Not Available,41.3,88.0,1698.5,80202,
denver,4337,Berkley Manor Care,RESIDENTIAL CARE FACILITY,112.8,0.0,509.1,80224,
denver,6098,Eating Recovery Center,Other - Specialty Hospital,156.5,0.0,1524.5,80230,
denver,2193,3201 Walnut St,Fitness Center/Health Club/Gym,72.2,0.0,353.9,80205,
denver,5589,History Colorado Center,MUSEUM,32.0,0.0,961.1,80203,
denver,4507,Denver Dumb Friends League,Other - Public Services,183.5,0.0,1954.8,80231,
denver,6065,Kirkland Museum of Fine and Decorative Art,MUSEUM,71.4,0.0,381.0,80204-3630,
denver,3295,XE #3295,Other - Utility,412.3,0.0,2661.0,80223,
denver,2279,The Spearly Center,RESIDENTIAL CARE FACILITY,0.0,0.0,0.0,80211,
denver,1606,Lincoln Tech,VOCATIONAL SCHOOL,54.1,0.0,1463.3,80239,
denver,1521,MHC Kenworth,AUTOMOBILE DEALERSHIP,78.1,0.0,1343.3,80216-0043,
denver,4807,Parliament Building #6,Not Available,41.8,53.0,955.9,80237,
denver,1163,233968,Other - Technology/Science,72.8,0.0,773.3,802392308,
denver,2445,Museum of Contemporary Art Denver,MUSEUM,120.1,0.0,292.6,80202,
denver,5885,9th & Colorado,Parking,120.7,0.0,532.5,80220,
denver,2561,CO0061ZZ-ALFRED A. ARRAJ COURTHOUSE,Courthouse,68.8,71.0,0.0,80294,
denver,2595,Stephen Chavez,Other - Mall,168.7,0.0,980.3,80202,
denver,4364,"Antero Retail Group, LLC",Other - Mall,132.5,0.0,1598.9,80224,
denver,3191,Colorado Ballet,PERFORMING ARTS,43.0,0.0,143.1,80204,
denver,2572,CO0009ZZ-BYRON WHITE U.S. COURTHOUSE,Courthouse,51.8,78.0,1539.0,80202,
denver,3780,Porter Adventist Hospital,Hospital (General Medical & Surgical),289.4,17.0,19460.1,80210,
denver,5998,Denver Health Campus,Hospital (General Medical & Surgical),246.7,52.0,28625.8,80204,
denver,1403,3801 Race LLC,AUTOMOBILE DEALERSHIP,26.8,0.0,126.4,80216,
denver,1311,"Brede-Colorado, Inc",Other - Services,10.4,0.0,52.1,80216,
denver,2027,31st Street Investments LLC,Residence Hall/Dormitory,52.5,0.0,794.8,80216,
denver,6034,Carla Madison Rec Center,Fitness Center/Health Club/Gym,153.6,0.0,905.4,80206,
denver,4579,COLORADO CTR 9,MOVIE THEATER,42.4,0.0,303.0,80222,
denver,5502,Rocky Mountain Law Enforcement Federal Credit Union,BANK BRANCH,47.0,89.0,122.0,80216,
denver,3983,Rose Medical Center,Hospital (General Medical & Surgical),230.2,58.0,16233.6,80220,
denver,1782,"The Lofts at Stapleton Homeowners Association, Inc.",Other - Lodging/Residential,33.4,99.0,176.8,80238,
denver,5022,"Phil Long Ford of Denver, LLC",AUTOMOBILE DEALERSHIP,105.1,0.0,1414.9,80123,
denver,2645,Denver Pavilions,Lifestyle Center,163.4,0.0,7275.1,80202,
denver,3158,"Osage, LLC",VOCATIONAL SCHOOL,101.8,0.0,511.0,80204,
denver,1855,"Thirteenth Floor Denver Holdings, LLC",Other - Entertainment/Public Assembly,36.5,0.0,99.7,80216,
denver,4557,Freeway Ford Service,AUTOMOBILE DEALERSHIP,206.6,0.0,467.0,80222,
denver,1587,237420,Other - Technology/Science,210.1,0.0,900.9,80239,
denver,2604,mr champa llc,DATA CENTER,370.0,0.0,8084.1,80603,
denver,2060,Museum Building 1,MUSEUM,36.8,0.0,159.9,80216,
denver,1207,CRI,Food Sales,47.7,0.0,256.9,80239,
denver,1122,Raymond James & Associates,DATA CENTER,495.4,97.0,3294.0,80239,
denver,3504,"Cherry Creek Real Estate Holdings, LLC",Parking,76.8,0.0,354.4,80209,
denver,1548,Walmart Supercenter #3533,Wholesale Club/Supercenter,107.8,50.0,2925.5,80207,
denver,5630,Le Meridien/AC Denver Downtown,Not Available,110.7,70.0,0.0,80202,
denver,2784,Mountain States,BANK BRANCH,55.7,87.0,261.8,80218,
denver,2608,Federal Reserve Bank of Kansas City - Denver Branch,Financial Office,86.8,38.0,1801.6,80202,
denver,4799,Happy Canyon Shopping Center,Other - Mall,47.1,0.0,297.4,80222,
denver,3135,KMGH-TV,Other - Technology/Science,231.0,0.0,2190.1,80203,
denver,5182,Scottish Rite Masonic Center,Other - Public Services,69.4,0.0,204.6,802032406,
denver,2720,The University Club,Food Service,177.3,0.0,412.0,80203,
denver,3511,Stephen Knight,Pre-school/Daycare,93.0,0.0,362.4,80209,
denver,2211,Cervantes Masterpiece Theatre,Social/Meeting Hall,40.6,0.0,102.5,80205,
